id,compound,formula
LMFA01020292,14-Methylheptadecanoic acid,C18H36O2
LMFA01030001,5Z_8Z_11Z_14Z-eicosatetraenoic acid,C20H32O2
LMFA01030002,9Z-octadecenoic acid,C18H34O2
LMFA01030003,5Z_8Z_11Z_14Z-eicosatetraenoic acid (5_6_8_9_11_12_14_15-d8),C20H24D8O2
LMFA01030004,3-butenoic acid,C4H6O2
LMFA01030005,2-pentenoic acid,C5H8O2
LMFA01030006,3-pentenoic acid,C5H8O2
LMFA01030007,4-pentenoic acid,C5H8O2
LMFA01030008,2-hexenoic acid,C6H10O2
LMFA01030009,3-hexenoic acid,C6H10O2
LMFA01030010,4-hexenoic acid,C6H10O2
LMFA01030011,5-hexenoic acid,C6H10O2
LMFA01030012,2-heptenoic acid,C7H12O2
LMFA01030013,3-heptenoic acid,C7H12O2
LMFA01030014,4-heptenoic acid,C7H12O2
LMFA01030015,5-heptenoic acid,C7H12O2
LMFA01030016,6-heptenoic acid,C7H12O2
LMFA01030017,2Z-octenoic acid,C8H14O2
LMFA01030018,2E-octenoic acid,C8H14O2
LMFA01030019,3Z-octenoic acid,C8H14O2
LMFA01030020,3E-octenoic acid,C8H14O2
LMFA01030021,4Z-octenoic acid,C8H14O2
LMFA01030022,5Z-octenoic acid,C8H14O2
LMFA01030023,5E-octenoic acid,C8H14O2
LMFA01030024,6Z-octenoic acid,C8H14O2
LMFA01030025,6E-octenoic acid,C8H14O2
LMFA01030026,2Z-nonenoic acid,C9H16O2
LMFA01030027,3-nonenoic acid,C9H16O2
LMFA01030028,8-nonenoic acid,C9H16O2
LMFA01030029,2-decenoic acid,C10H18O2
LMFA01030030,3-decenoic acid,C10H18O2
LMFA01030031,4-decenoic acid,C10H18O2
LMFA01030032,8-decenoic acid,C10H18O2
LMFA01030033,9-decenoic acid,C10H18O2
LMFA01030034,2-undecenoic acid,C11H20O2
LMFA01030035,9-undecenoic acid,C11H20O2
LMFA01030036,10-undecenoic acid,C11H20O2
LMFA01030037,2-dodecenoic acid,C12H22O2
LMFA01030038,4-dodecenoic acid,C12H22O2
LMFA01030039,6-dodecenoic acid,C12H22O2
LMFA01030040,7-dodecenoic acid,C12H22O2
LMFA01030041,9-dodecenoic acid,C12H22O2
LMFA01030042,10-dodecenoic acid,C12H22O2
LMFA01030043,11-dodecenoic acid,C12H22O2
LMFA01030044,2-tridecenoic acid,C13H24O2
LMFA01030045,11-tridecenoic acid,C13H24O2
LMFA01030046,12-tridecenoic acid,C13H24O2
LMFA01030047,2-tetradecenoic acid,C14H26O2
LMFA01030048,4-tetradecenoic acid,C14H26O2
LMFA01030049,5-tetradecenoic acid,C14H26O2
LMFA01030050,8Z-tetradecenoic acid,C14H26O2
LMFA01030051,9Z-tetradecenoic acid,C14H26O2
